source_id,catalog,title,url,class,decision,reason,root_hits,target_hits,timeframe_hits,label_hits,proxy_hits,direct_manipulation_hits
huggingface:ClarusC64/market-regime-coherence-mapping-v0.1,huggingface,ClarusC64/market-regime-coherence-mapping-v0.1,https://huggingface.co/datasets/ClarusC64/market-regime-coherence-mapping-v0.1,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""class"", ""label"", ""regime""]","[""forecast"", ""prediction""]","[""class"", ""dataset"", ""label""]"
huggingface:ClarusC64/market-regime-transition-breakpoint-mapping-v0.1,huggingface,ClarusC64/market-regime-transition-breakpoint-mapping-v0.1,https://huggingface.co/datasets/ClarusC64/market-regime-transition-breakpoint-mapping-v0.1,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]","[""4h""]","[""class"", ""regime"", ""target""]",[],"[""class"", ""dataset""]"
huggingface:sujinwo/tsie-market-regime-dataset,huggingface,sujinwo/tsie-market-regime-dataset,https://huggingface.co/datasets/sujinwo/tsie-market-regime-dataset,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]","[""1d"", ""1m""]","[""class"", ""label"", ""labeled"", ""regime""]","[""forecast"", ""ohlcv"", ""signal"", ""technical indicator""]","[""class"", ""dataset"", ""label"", ""labeled""]"
zenodo:8089278,zenodo,A Statistic Method for the Prediction of the Succession of Bear and Bull Stock Market,https://zenodo.org/records/8089278,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],[],"[""forecast"", ""hidden markov"", ""prediction"", ""strategy""]",[]
zenodo:16976263,zenodo,Vietnam stock technica analysis with mixed GP artificial intelligence numerical computations,https://zenodo.org/records/16976263,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": true}","[""cl"", ""es""]",[],[],"[""prediction"", ""signal"", ""technical indicator""]",[]
zenodo:18073695,zenodo,DYNAMIC BEHAVIOR OF REGIME CHANGE IN ARABICA COFFEE COMMODITY PRICES IN BRAZIL USING MARKOV SWITCHING DYNAMIC REGRESSION MODEL,https://zenodo.org/records/18073695,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways'].","{""Bear"": false, ""Bull"": false, ""Crisis"": true, ""Sideways"": false}","[""cl"", ""es""]",[],"[""regime""]",[],[]
zenodo:18666986,zenodo,"Deep Reinforcement Learning for Risk-Aware Portfolio Optimization: A Comparative Study of PPO, QR-DDPG, DDPG, and SAC under Market Uncertainty",https://zenodo.org/records/18666986,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Sideways'].,"{""Bear"": true, ""Bull"": true, ""Crisis"": true, ""Sideways"": false}","[""es"", ""vix"", ""ym""]",[],"[""regime""]",[],[]
zenodo:7063561,zenodo,Evaluation of options portfolios for exchange rate hedges,https://zenodo.org/records/7063561,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],[],"[""strategy""]",[]
zenodo:15783940,zenodo,Examle_KG,https://zenodo.org/records/15783940,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es"", ""qqq""]",[],[],[],"[""dataset""]"
zenodo:12562597,zenodo,Dataset: Invesco QQQ Trust (QQQ) Stock Performance,https://zenodo.org/records/12562597,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es"", ""qqq""]",[],[],"[""forecast""]","[""dataset""]"
zenodo:7866406,zenodo,row,https://zenodo.org/records/7866406,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es"", ""nq"", ""qqq""]",[],[],[],[]
zenodo:1476156,zenodo,Machine learning for Gravity Spy: Glitch classification and dataset,https://zenodo.org/records/1476156,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""spy"", ""ym""]","[""1d""]","[""annotation"", ""class"", ""label"", ""labelled""]",[],"[""class"", ""dataset"", ""label"", ""labelled""]"
zenodo:13904422,zenodo,Gravity Spy Volunteer Classifications of LIGO Glitches,https://zenodo.org/records/13904422,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""spy"", ""ym""]",[],"[""class"", ""label"", ""target""]",[],"[""class"", ""dataset"", ""label""]"
zenodo:15787425,zenodo,Optimal Bitcoin Trading Strategy Development Using Quantitative Models for the Current Market Regime,https://zenodo.org/records/15787425,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""bitcoin"", ""cl"", ""es""]","[""daily""]","[""regime""]","[""strategy""]",[]
zenodo:12744140,zenodo,Dataset: BTC-USD (BTC-USD) Stock Performance,https://zenodo.org/records/12744140,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es""]",[],[],"[""forecast""]","[""dataset""]"
zenodo:19176941,zenodo,"Replication package for ""An Angle-Based Measure of Price Impact in Cryptocurrency Markets during Crises""",https://zenodo.org/records/19176941,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""kraken""]","[""minute""]",[],"[""ohlcv""]","[""dataset""]"
zenodo:19671502,zenodo,TIME-SERIES MOMENTUM IN CRYPTOCURRENCY MARKETS: A PRE AND POST SPOT BITCOIN ETF ANALYSIS,https://zenodo.org/records/19671502,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": true, ""Crisis"": false, ""Sideways"": false}","[""bitcoin"", ""cl"", ""es"", ""gld"", ""spy""]","[""daily"", ""monthly""]","[""class"", ""regime""]","[""strategy""]","[""class""]"
zenodo:18611121,zenodo,Interferometric Synthetic Aperture Sonar imagery and bathymetry of the Scotian Shelf,https://zenodo.org/records/18611121,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""kraken"", ""ym""]",[],[],[],"[""dataset""]"
zenodo:4540223,zenodo,Detecting and Quantifying Wash Trading on Decentralized Cryptocurrency Exchanges,https://zenodo.org/records/4540223,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""ethereum"", ""ym""]",[],[],[],"[""wash trade"", ""wash trading"", ""dataset""]"
zenodo:17830944,zenodo,"Code and Dataset for ""A Midsummer Meme's Dream: Investigating Market Manipulations in the Meme Coin Ecosystem""",https://zenodo.org/records/17830944,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""bitcoin"", ""cl"", ""es"", ""ethereum"", ""solana"", ""ym""]","[""daily"", ""hourly""]",[],"[""ohlcv""]","[""market manipulation"", ""pump and dump"", ""wash trading"", ""dataset""]"
zenodo:14279466,zenodo,A dataset for semantic segmentation of typical oceanic and atmospheric phenomena from Sentinel-1 images,https://zenodo.org/records/14279466,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""annotated"", ""annotation"", ""label"", ""labeled"", ""labelled""]",[],"[""dataset"", ""label"", ""labeled"", ""labelled""]"
zenodo:7121214,zenodo,rosyluo/Sex-Differential-Metabolite-in-Lung-Cancer: Sex Differential metabolite in Lung cancer iscience paper,https://zenodo.org/records/7121214,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es""]",[],[],[],[]
zenodo:18324097,zenodo,washdata: Urban Water and Sanitation Survey Dataset,https://zenodo.org/records/18324097,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],[],[],"[""dataset""]"
zenodo:5026154,zenodo,Data from: Market forces influence helping behaviour in cooperatively breeding paper wasps,https://zenodo.org/records/5026154,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""class""]",[],"[""market manipulation"", ""class"", ""dataset""]"
zenodo:4580200,zenodo,VERA Spoofing PalmVein,https://zenodo.org/records/4580200,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""dia"", ""es"", ""ym""]",[],"[""label"", ""labeled""]",[],"[""spoofing"", ""dataset"", ""label"", ""labeled""]"
zenodo:16955639,zenodo,HuBERT Ensemble Models for Singing Voice Deepfake Detection,https://zenodo.org/records/16955639,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""dia"", ""es"", ""ym""]",[],"[""class"", ""label"", ""labeled""]",[],"[""spoofing"", ""class"", ""dataset"", ""label"", ""labeled""]"
zenodo:17860328,zenodo,SARSpoof: A South Asian Face Anti-Spoofing Dataset,https://zenodo.org/records/17860328,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""target""]",[],"[""spoofing"", ""dataset""]"
zenodo:19653452,zenodo,"Chapter 8: Market Manipulation, Insider Trading, and Regulatory Effectiveness: A Comparative Study of South Africa, the USA, and the UK",https://zenodo.org/records/19653452,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""class""]",[],"[""layering"", ""market manipulation"", ""spoofing"", ""class""]"
openml_search_page:market_regime,openml_page,OpenML search page: market regime,https://www.openml.org/search?type=data&status=active&search=market+regime,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,"Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Bull', 'Bear', 'Sideways', 'Crisis'].","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es""]",[],"[""regime""]",[],"[""dataset""]"
openml_search_page:bull_bear_sideways,openml_page,OpenML search page: bull bear sideways,https://www.openml.org/search?type=data&status=active&search=bull+bear+sideways,root_label_catalog_candidate,rejected_missing_full_mainregimev2_roots,Metadata does not expose all MainRegimeV2 roots; missing root terms: ['Crisis'].,"{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": true}","[""es""]",[],[],[],"[""dataset""]"
openml_search_page:market_manipulation,openml_page,OpenML search page: market manipulation,https://www.openml.org/search?type=data&status=active&search=market+manipulation,direct_manipulation_candidate_metadata_only,sidecar_only_needs_exported_rows_and_controls,"Metadata mentions direct manipulation/wash/spoofing concepts, but no replayable positive/negative windows were exported in this probe.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es""]",[],[],[],"[""market manipulation"", ""dataset""]"
